razao_social,nome,cnpj,text,cnae,situacao,fantasia,abertura,email,telefone,tipo,natureza_juridica,bairro,cep,uf
BANCO DO BRASIL S.A.,BANCO DO BRASIL SA,00.000.000/0001-91,"Bancos múltiplos, com carteira comercial",64.22-1-00,ATIVA,DIRECAO GERAL,01/08/1966,secex@bb.com.br,(61) 3493-9002,MATRIZ,203-8 - Sociedade de Economia Mista,ASA NORTE,70.040-912,DF
BRB-BANCO DE BRASILIA SA,BRB BANCO DE BRASILIA SA,00.000.208/0001-00,"Bancos múltiplos, com carteira comercial",64.22-1-00,ATIVA,BRB,04/08/1966,ggedac@brb.com.br,(61) 3412-8528/ (61) 3412-8605,MATRIZ,203-8 - Sociedade de Economia Mista,ASA SUL,70.072-900,DF
CENTRAIS ELETRICAS BRASILEIRAS SA,CENTRAIS ELETRICAS BRASILEIRAS SA,00.001.180/0001-26,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,ELETROBRAS,19/08/1966,dfct@eletrobras.com,(21) 2514-5887/ (21) 2514-6155,MATRIZ,203-8 - Sociedade de Economia Mista,ASA NORTE,70.716-900,DF
COMPANHIA ENERGÉTICA DE BRASÍLIA – CEB,COMPANHIA ENERGETICA DE BRASILIA,00.070.698/0001-11,Distribuição de energia elétrica,35.14-0-00,ATIVA,CEB,17/01/1969,cleberpereira@ceb.com.br,(61) 3465-9300,MATRIZ,203-8 - Sociedade de Economia Mista,ZONA INDUSTRIAL (GUARA),71.215-902,DF
CIMS SA,CIMS S.A.,00.272.185/0001-93,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,18/10/1994,juridico@vincipartners.com,(21) 2159-6000,MATRIZ,204-6 - Sociedade Anônima Aberta,LEBLON,22.431-002,RJ
TELEC. BRASILEIRAS S.A. – TELEBRÁS,TELECOMUNICACOES BRASILEIRAS SA TELEBRAS,00.336.701/0001-04,Serviços de comunicação multimídia - SCM,61.10-8-03,ATIVA,TELEBRAS,13/11/1972,contabilidade@telebras.com.br,(61) 2027-1264/ (61) 2027-1302,MATRIZ,203-8 - Sociedade de Economia Mista,ZONA INDUSTRIAL,70.610-440,DF
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,ATOM EMPREENDIMENTOS E PARTICIPACOES S.A.,00.359.742/0001-08,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,20/12/1994,jj@paiffer.com,(16) 3031-6100,MATRIZ,204-6 - Sociedade Anônima Aberta,JARDIM PIRES DE MELLO,18.046-640,SP
BANCO INTER S.A.,BANCO INTER S.A.,00.416.968/0001-01,"Bancos múltiplos, com carteira comercial",64.22-1-00,ATIVA,BANCO INTER S.A.,01/02/1995,contabil@intermedium.com.br,(31) 2101-7000/ (31) 2101-7012,MATRIZ,204-6 - Sociedade Anônima Aberta,LOURDES,30.110-051,MG
STATKRAFT ENERGIAS RENOVÁVEIS S.A.,STATKRAFT ENERGIAS RENOVAVEIS S/A,00.622.416/0001-41,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,25/05/1995,sker.nf@statkraft.com,(48) 3877-7100,MATRIZ,204-6 - Sociedade Anônima Aberta,SACO GRANDE,88.032-005,SC
LITEL PARTICIPACOES SA,LITEL PARTICIPACOES S/A,00.743.065/0001-27,Holdings de instituições não-financeiras,64.62-0-00,ATIVA,,07/08/1995,,(21) 2283-3448 / (21) 2518-5090 / (21) 2518-9030,MATRIZ,204-6 - Sociedade Anônima Aberta,CENTRO,20.011-901,RJ
